store_id,neighborhood_type,seating_capacity,has_drive_through,staff_count,open_time,close_time,opened_date
1,university,39,False,4,06:00,21:00,2019-12-21
2,tourist,49,False,7,07:00,21:00,2017-10-06
3,university,52,False,7,07:00,20:00,2019-02-24
4,hospital,27,False,5,06:30,20:00,2017-06-23
5,urban_residential,60,False,11,06:00,20:00,2017-10-01
6,mall,71,False,13,10:00,21:00,2020-04-22
7,hospital,37,False,4,06:30,20:00,2020-03-04
8,urban_residential,51,False,9,07:00,21:00,2019-07-16
9,tourist,62,False,7,07:00,21:00,2017-12-07
10,tourist,69,False,9,07:00,21:00,2022-11-08
11,gas_station,28,True,4,06:00,20:00,2020-07-22
12,gas_station,28,False,5,06:00,20:00,2018-04-05
13,gas_station,22,True,4,06:00,20:00,2015-09-13
14,university,61,False,8,07:00,20:00,2019-02-11
15,tourist,58,False,9,07:00,21:00,2020-05-04
16,transit,54,False,10,06:00,21:00,2023-06-08
17,office,50,False,9,07:00,20:00,2022-01-03
18,hospital,28,False,4,06:30,20:00,2019-09-09
19,university,46,False,9,07:00,21:00,2016-08-13
20,transit,45,False,8,06:00,21:00,2020-08-03
