event_id,store_id,date,event_name,event_type
1,10,2023-06-10,เทศกาลเบียร์คราฟท์,food_festival
2,7,2023-07-01,งานบวช,cultural
3,11,2024-10-30,ถนนคนเดิน,market
4,17,2024-01-14,เวียนเทียน,cultural
5,14,2024-12-19,คอนเสิร์ตในสวน,concert
6,4,2023-01-11,แข่งจักรยาน,sports
7,5,2024-02-03,ตลาดนัดวันหยุด,market
8,6,2024-03-27,งาน Book Fair,book_fair
9,6,2024-11-01,งาน Job Fair,convention
10,9,2024-12-26,สัปดาห์หนังสือ,book_fair
11,19,2024-07-07,คอนเสิร์ตนักศึกษา,concert
12,16,2023-02-22,งานบวช,cultural
13,16,2024-10-15,มิวสิคเฟสติวัล,music_festival
14,18,2024-01-19,แข่งจักรยาน,sports
15,20,2024-10-22,ตลาดนัดวันหยุด,market
16,13,2023-02-01,เทศกาลของหวาน,food_festival
17,15,2024-05-23,งานดนตรีกลางแจ้ง,music_festival
18,13,2024-11-06,แข่งจักรยาน,sports
19,3,2023-09-16,งาน Startup Expo,convention
20,15,2024-02-02,เทศกาลผลไม้,food_festival
21,2,2023-01-21,งานโยคะในสวน,sports
22,16,2023-07-09,คอนเสิร์ตนักศึกษา,concert
23,13,2024-12-02,งาน Auto Expo,convention
24,10,2023-05-14,เทศกาลสงกรานต์ท้องถิ่น,cultural
25,10,2023-12-19,ตลาดสดเช้า,market
26,10,2023-09-03,เวียนเทียน,cultural
27,20,2024-10-31,นิทรรศการหนังสือ,book_fair
28,1,2024-01-01,เทศกาลผลไม้,food_festival
29,2,2023-12-02,มหกรรมหนังสือ,book_fair
30,9,2024-06-01,แข่งจักรยาน,sports
31,6,2024-06-29,งานบวช,cultural
32,1,2023-11-06,ถนนคนเดิน,market
33,19,2023-06-23,งาน Busking,concert
34,10,2024-11-21,งาน Busking,concert
35,13,2023-08-18,นิทรรศการศิลปะ,convention
36,11,2023-07-29,เทศกาลดนตรี,music_festival
37,15,2024-10-05,เทศกาลสงกรานต์ท้องถิ่น,cultural
38,8,2023-10-22,เทศกาลอาหาร,food_festival
39,1,2023-09-24,ฟุตบอลนัดพิเศษ,sports
40,3,2024-07-05,ตลาดสดเช้า,market
41,9,2024-01-27,คอนเสิร์ตนักศึกษา,concert
42,3,2024-07-22,สัปดาห์หนังสือ,book_fair
43,14,2023-07-03,ฟุตบอลนัดพิเศษ,sports
44,16,2023-02-07,มิวสิคเฟสติวัล,music_festival
45,12,2023-03-12,เทศกาลของหวาน,food_festival
46,19,2023-10-10,มหกรรมหนังสือ,book_fair
47,9,2023-03-04,ตลาดนัดวันหยุด,market
48,11,2024-08-28,เทศกาลผลไม้,food_festival
49,12,2023-05-14,เทศกาลเบียร์คราฟท์,food_festival
50,7,2023-09-14,เทศกาลเบียร์คราฟท์,food_festival
51,3,2023-05-18,เทศกาลผลไม้,food_festival
52,11,2023-02-20,งาน Book Fair,book_fair
53,1,2024-09-15,สัมมนาธุรกิจ,convention
54,4,2024-05-12,ตลาดนัดวันหยุด,market
55,17,2024-01-16,งานดนตรีกลางแจ้ง,music_festival
